"","name","pos","team","overallRank","positionRank","vor","projectedPts","upside","risk","projectedCost","adp","ADPdiff","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds","twoPts","fumbles","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_yahoo"
"58","Roddy White","WR","ATL",58,19,27.1001963400385,145.599832999169,154.608794634318,4.1282931176953,68,46.6,-11.4,0,0,0,0,0,84,1056,6.99999003390854,0,1.00005360214111,156.1,145.6,142.4,NA,150.97,165.6,159.9,135.5,148.5,140.7,143,136.5,154.7,148.6
"59","Michael Floyd","WR","ARI",59,20,27.0503030752814,145.549939734412,152.848144290574,3.68350638953267,43,59.3,0.299999999999997,0,0,0,0,0,72.9999437625066,1071.5,6.49998995573532,0,0.3,155.8,149.8,137.6,NA,149.94,136.7,153.7,144.6,150,136.1,141,155.9,142.7,139
"60","Trent Richardson","RB","IND",60,28,26.6497484767201,146.599608185662,167.405723657457,5.75085301097684,23,103.3,43.3,0,0,0,799.5,6.29996474066548,38.5000037516539,278.5,0.99998448554114,0,2.50004358578865,178,146.3,173.3,NA,167.43,169.1,177.4,135.1,143,129.8,127,116.2,153.6,141.3
"61","Wes Welker","WR","DEN",61,21,25.4503406449719,143.949977304102,161.315518780522,5.34614127688375,120,36.5,-24.5,0,0,0,0,0,80.1000290663055,949.500001356741,8.50000579489675,0,1.00002880047607,157.3,148.8,135.8,NA,152.33,160.3,166.7,134.6,122,143.4,128,121.2,176.7,156.7
"62","Percy Harvin","WR","SEA",62,22,25.1755043088706,143.675140968001,158.90634022378,4.72631981253682,77,44.1,-17.9,0,0,0,121.75,1.00004553841382,70.5000419713187,895,6.2999911509535,0,0.900039584101369,134.8,116.8,129.7,NA,145.64,157.1,169.2,144.2,132,133.7,167.5,142.3,153.7,136.8
"63","Matt Ryan","QB","ATL",63,10,24.0342668384488,297.029492081199,309.161237716261,5.05733212391765,48,57,-6,4644.5,29.4499758099439,14.9999969906658,70.5,0.999920973467852,0,0,0,0.7,2.99997000435913,322.98,308.64,281.68,306.08,304.702,288.76,294.4,289.88,290,293.46,292.5,318.82,295.04,308.9
"64","DeSean Jackson","WR","WAS",64,23,22.4504220059449,140.950058665076,150.784844259704,4.10165367606978,78,44.3,-19.7,0,0,0,19.0000271231293,0,63.9999644220284,990.5,7.00001048877996,0,1.00000348995859,138.6,139.3,147.7,NA,140.79,156.6,132.2,139.4,152.5,138.9,147,119.9,152.7,135.2
"65","Tom Brady","QB","NE",65,11,22.2265499627915,295.221775205541,310.439891802848,4.96261526551922,60,67.3,2.3,4481.8,30.2000091035844,11.0000484582336,31.4999264128981,1.4999726380923,0,0,0,0,3.00002061020313,305.42,330.28,274.58,NA,300.794,301.5,275.84,297.14,300.2,293.76,303.1,283.3,304.68,316.01
"66","Torrey Smith","WR","BAL",66,24,22.1514285121115,140.651065171242,151.865010244345,4.64867369223078,32,62.9,-3.1,0,0,0,11.9999882350625,0,63.5000037474375,1050,6.00000652654174,0,0.774486405757309,139.3,142.5,142.8,NA,143.65,168,147.8,127.8,122.5,133.7,144,141.1,152.8,146.4
"67","Stevan Ridley","RB","NE",67,29,21.845433593743,141.795293302685,156.594182120986,5.18671560381817,23,95.2,28.2,0,0,0,930.5,8.00005445925127,7.99993645428499,57.45,0,0,2.50001672641113,174,145,164.7,NA,156.94,137.8,141.5,130.1,152,131.5,133.5,159.2,134.8,165.89
"68","Pierre Thomas","RB","NO",68,30,21.0500701710545,140.999929879997,153.944481253313,4.60232044474238,13,111.6,43.6,0,0,0,589,3.75000857286706,67.9499794332628,467,2.49996533736417,0,1.04995679069529,157.3,132.5,141.2,NA,142.6,150.6,137.1,125.2,134,124.4,149,170.9,138.5,148.1
"69","Vernon Davis","TE","SF",69,4,17.249844826658,125.750014226029,147.504736297744,5.77505930380551,96,41.8,-27.2,0,0,0,0,0,55.3630792131271,762.500035431908,8.50000621514937,0,0.750013304029022,125.8,151.5,157,157,139.73,154.5,125.7,107,122,122.3,109.5,91.8,135.9,98.9
"70","Tony Romo","QB","DAL",70,12,16.9046441926532,289.899869435403,302.334267702163,4.6160505776891,30,87.3,17.3,4402.5,30.5000689170119,14.999965796718,43.9999785861955,0.999912335812587,0,0,0,0.7,2.49995615471084,315.94,295.08,286.06,NA,296.15,281.54,278.16,281.4,277,280.08,296.7,301,302.44,307.11
"71","Mike Wallace","WR","MIA",71,25,16.5002569699349,134.999893629065,141.662425102989,3.92253112278429,15,99.7,28.7,0,0,0,24.5000136749271,0,72.4999465777095,980.499935922792,5.99997894543107,0,0.749987501646415,134.4,134.7,131.7,NA,136.7,135.3,136.6,125.9,139,133.9,137,123.9,151.9,133.27
"72","Steven Jackson","RB","ATL",72,31,16.3999405417023,136.349800250645,161.140746799117,6.11243187458072,21,101.2,29.2,0,0,0,745,5.99994174684208,32.5000725630722,228.499967984176,1,0,1.49992351441273,168.5,124.4,151.8,NA,144.03,78,129,128.7,122.5,138.8,134.5,170.5,162.9,156.9
"73","Jordan Cameron","TE","CLE",73,5,15.5994961541129,124.099665553484,132.946404724277,4.89435006760511,53,55.6,-17.4,0,0,0,0,0,74.8120516310811,861.999944498982,6.49995225448747,0.2,0.750021211669583,108.4,132.5,129.9,129.9,122.35,124.9,120.5,118.5,130,125.2,140,114.5,129.8,111
"74","Marques Colston","WR","NO",74,26,15.1000943895467,133.599731048677,144.09063944473,4.47980221252129,21,83.2,9.2,0,0,0,0,0,73.0000482151424,966,6.49994720485971,0,0.999976090240479,130.5,133.8,126.7,NA,134.37,135.5,148.7,112.9,126,133.4,123.5,145,147.7,144.4
